Total,esl,nativeAmerican,black,latino,asian,white,female,attendance,povertyRate,temporaryHousing,teachers
388,40,0.8,58.2,38.9,0.8,1.3,47.2,91.7,73.1,23,54
806,73,0.1,60.3,38.7,0.1,0.7,47.8,90.2,97.9,16,63
323,38,0.3,71.8,24.8,3.1,0,48.6,91.2,90,9,38
589,103,0.3,65.7,32.8,0.3,0.8,53.5,90.2,76.6,12,50
404,50,0.2,62.4,33.4,3,1,45.5,91.2,80.4,9,38
501,42,0.6,52.5,45.3,1.4,0.2,49.5,90.9,72.2,6,43
345,26,0,75.6,22.3,0.9,1.2,47,90.6,80.9,13,32
471,55,0,72.8,24.6,2.1,0.4,51.4,91.2,85.6,12,43
848,250,0.1,14.7,82.2,1.2,1.8,47.2,92.3,94.4,21,73
284,23,0.7,58.8,37.3,1.1,2.1,38.4,86.5,70.9,8,44
389,36,0.5,79.7,16.7,1.8,1.3,52.2,91.1,75.3,9,30
295,42,0.7,76.6,21.7,0,1,46.4,90.1,76.6,11,33
733,63,0.1,43,54.6,1.4,1,48.4,89.1,79.1,21,76
556,35,0.4,71.4,25.7,1.1,1.4,45.1,89,70.5,8,52
683,46,0.3,66.5,31.2,0.3,1.8,47.7,91,68,25,65
334,14,0.6,54.5,43.4,0.6,0.9,60.8,78.2,64.6,3,18
193,11,0.5,60.1,38.3,0.5,0.5,37.3,93.4,80.5,18,20
291,24,0.3,38.8,59.8,0.3,0.7,59.1,94.5,72.5,1,21
414,28,0,33.6,62.3,1,3.1,48.6,87.3,62.7,1,28
195,5,0,76.9,20,1,2,53.3,90.7,62.7,2,15
221,7,0.4,74.7,22.6,1.4,0.9,48,87.5,72.7,9,17
94,0,1.1,11.7,52.1,10.6,24.5,47.9,96.6,60,0,6
148,0,0.7,57.4,41.2,0.7,0,81.8,82.7,74.1,2,11
544,63,0.4,50.6,48.4,0.4,0.4,47.6,78.7,61,2,40
647,151,0.8,9,89,0,1.2,46.8,91.1,91.3,12,57
854,195,0,6.1,93.3,0,0.6,48.4,93.8,86.7,1,76
612,107,0.2,4.4,94.3,0.6,0.5,47.4,92.7,89.6,3,53
438,19,0.2,0.7,97.5,0.9,0.7,51.6,92.7,87.1,0,36
996,153,0,16.6,81.5,0.5,1.4,46.6,92,83.1,21,83
577,149,0,3.5,93.4,0.7,2.4,46.6,93.4,85.3,2,59
922,74,0,3,95.7,0.8,0.5,49,94,82.3,6,89
618,133,0,1.6,97.6,0.3,0.5,47.7,93.2,100,8,51
868,155,0,2.5,95.8,0.2,1.4,49.8,92.4,78.1,3,67
817,147,0.1,4.5,93.4,1.1,0.9,48,93.1,84.2,20,74
911,198,0,1.1,97.6,0.8,0.6,49.6,92.2,92.3,9,77
859,133,0,1.8,97.1,0.2,0.9,43.7,90.3,84.4,14,75
970,180,0,1.4,97.7,0.2,0.6,50.1,92.8,74.9,7,86
1004,191,0.5,19.1,79,0.3,1.1,52.1,92,89.4,17,79
821,213,0,2.8,92.2,1.8,3.2,47.9,92.9,74.1,5,66
790,101,0,1.7,52.8,6.6,38.9,51.1,95,61.1,8,59
1114,389,0,0.3,99.2,0.1,0.4,52.2,93.9,93.4,13,84
468,116,0,6.4,92.3,0.4,0.8,48.1,93.5,93.5,2,46
377,0,0,2.4,97.4,0,0.3,51.2,93.4,91.4,1,31
530,107,0,3.8,95.1,0,1.1,45.3,88.8,67.8,16,53
428,6,0.2,4.7,84.4,6.1,4.7,58.2,96.5,62,0,25
472,129,0,4,89,1.3,5.7,44.9,93.7,81.5,1,40
241,41,0,5,93.4,0.4,1.2,52.7,94.8,83.9,3,20
398,0,0,3,85.2,2.5,9.3,52.8,94.3,70.2,3,33
277,55,0.7,5.8,68.6,6.1,18.8,48.7,92.6,44.1,0,22
472,61,0.2,8.5,90,0.4,0.8,45.3,92.9,87.6,8,42
352,45,0.3,16.2,82.4,0.8,0.3,46.3,90.9,80.7,1,31
511,118,0,4.5,94.9,0,0.6,44,90.3,61.4,3,45
395,47,0.8,9.9,88.1,0.5,0.8,46.6,96,77.1,7,34
475,80,0,5.9,92,0.6,1.5,45.5,92.5,92.7,3,44
464,177,0,18.8,80.4,0.2,0.6,42.2,89.7,95.7,7,40
567,59,0.4,12,86.8,0.5,0.4,40.9,91.6,94.8,38,44
268,68,0,3.7,95.2,0,1.1,49.6,93.4,81.9,5,18
235,57,0.4,1.3,98.3,0,0,46,93.8,87,4,20
179,0,0,0,100,0,0,47.5,95.5,83.6,3,14
232,37,0,38.4,52.2,1.7,7.8,56.9,93.2,60,5,15
688,1,0.4,6,92.2,0.6,0.9,42.3,88.1,79.1,2,46
662,190,0.2,5.3,94,0.6,0,42.3,83.4,90,3,43
660,156,0.2,4.8,93.5,0.6,0.9,51.2,88.2,84,2,43
671,45,0.3,8.2,89.9,0.6,1,49.6,84.8,68.2,0,49
268,43,0,3.4,96.6,0,0,66.4,92.8,86.4,1,20
1496,33,0.3,32.5,63.4,3.2,0.5,53,88.7,64.2,4,91
419,0,0,0,100,0,0,53.5,89.6,86.2,14,27
471,0,0.2,17,33.3,26.5,22.9,38.8,94.3,13.2,1,38
659,57,0.6,20.6,78,0.3,0.5,54.6,91.4,98.9,32,47
581,32,0.7,28.6,69.9,0.3,0.5,52.5,91.6,89.2,15,50
525,34,0,33.3,65.5,0.4,0.8,47.4,91.2,80.4,12,43
488,39,0,10,89.1,0.2,0.6,50.6,90.9,92.5,7,43
738,74,0.3,30.4,68,0.8,0.5,53.5,90.5,89.3,13,62
552,35,0.4,17.8,81,0.7,0.2,45.6,92.1,92.6,13,51
813,76,0,30,66.5,2.5,1,52.6,91.3,81.5,12,71
491,65,0.4,26.9,71.9,0.6,0.2,50.9,90.9,93.6,19,45
660,52,0.2,30.2,69.2,0,0.4,48.5,91.7,92.9,42,63
504,60,0.8,31.6,67.1,0.2,0.4,43.2,89.7,92.1,22,47
282,18,0,28.4,71.3,0,0.4,46.8,87.6,88.2,20,29
